caseid,lengua_materna,tipo_residencia,educacion_anios_simples,miembros_hogar,indice_de_riqueza,edad_primer_nacimiento,d104,d106,d107,d108,indice_violencia
      325503101  2,10,1.0,11,4,2.0,22.0,0,1,0,0,1
      325503101  4,10,1.0,9,4,2.0,,0,0,0,0,0
      325503901  2,10,1.0,11,2,3.0,,0,0,0,0,0
      325504701  2,10,1.0,11,4,2.0,20.0,0,0,0,0,0
      325505001  1,10,1.0,6,3,2.0,17.0,0,0,0,0,0
      325505301  1,10,1.0,6,2,2.0,20.0,0,0,0,0,0
      325508901  2,10,1.0,11,4,3.0,21.0,0,0,0,0,0
      325509301  1,10,1.0,16,2,3.0,,0,0,0,0,0
      325509301  2,10,1.0,12,2,3.0,,0,0,0,0,0
      325509701  2,10,1.0,14,4,4.0,21.0,0,0,0,0,0
      325600601  1,10,1.0,8,3,2.0,17.0,1,1,0,0,2
      325600801  2,10,1.0,16,4,4.0,31.0,0,0,0,0,0
      325601301  2,10,1.0,11,6,1.0,19.0,1,1,1,1,4
      325601301  3,10,1.0,10,6,1.0,,0,0,0,0,0
      325602801  1,10,1.0,5,5,2.0,15.0,1,1,1,1,4
      325603201  3,10,1.0,16,7,5.0,26.0,0,0,0,0,0
      325605001  1,10,1.0,11,3,2.0,20.0,0,0,0,0,0
      325605601  1,10,1.0,11,1,3.0,,0,0,0,0,0
      325701001  1,10,1.0,11,3,2.0,18.0,0,0,0,0,0
      325702001  1,10,1.0,16,1,2.0,,0,0,0,0,0
      325707401  1,10,1.0,16,2,5.0,29.0,0,0,0,0,0
      325710301  2,10,1.0,16,6,4.0,,0,0,0,0,0
      325712401  2,10,1.0,13,6,4.0,20.0,0,0,0,0,0
      325712401  3,10,1.0,13,6,4.0,,0,0,0,0,0
      325800101  3,10,1.0,11,5,2.0,19.0,0,1,1,0,2
      325800601  3,10,1.0,3,5,2.0,,0,0,0,0,0
      325800601  4,10,1.0,6,5,2.0,30.0,0,0,0,0,0
      325804201  2,10,1.0,6,4,3.0,19.0,1,0,0,0,1
      325806001  1,10,1.0,11,3,3.0,19.0,0,1,0,0,1
      325806401  2,10,1.0,5,8,2.0,19.0,0,0,0,0,0
      325806401  3,10,1.0,13,8,2.0,20.0,1,1,0,1,3
      325809301  1,4,1.0,11,7,2.0,16.0,1,1,0,0,2
      325810301  1,10,1.0,8,4,2.0,18.0,0,0,0,0,0
      325811601  2,10,1.0,8,4,3.0,17.0,0,0,0,0,0
      325811601  4,10,1.0,11,4,3.0,,0,0,0,0,0
      325901901  2,10,1.0,16,5,3.0,19.0,0,0,0,0,0
      325901901  3,10,1.0,11,5,3.0,,0,0,0,0,0
      325902701  2,10,1.0,6,2,4.0,17.0,0,0,0,0,0
      325903201  2,10,1.0,14,4,4.0,22.0,0,0,0,0,0
      325904501  3,10,1.0,12,4,3.0,21.0,0,0,0,0,0
      325907401  3,10,1.0,15,4,3.0,18.0,0,0,0,0,0
      325908501  2,10,1.0,11,5,3.0,23.0,0,1,0,0,1
      325908501  3,10,1.0,12,5,3.0,,0,0,0,0,0
      325909101  1,10,1.0,11,3,3.0,22.0,0,0,0,0,0
      325909201  1,10,1.0,11,4,4.0,16.0,0,0,0,0,0
      325909701  2,10,1.0,14,5,5.0,25.0,0,0,0,0,0
      325909701  5,10,1.0,16,5,5.0,,0,0,0,0,0
      326001001  2,10,1.0,16,4,4.0,21.0,0,0,0,0,0
      326006001  1,10,1.0,9,4,3.0,15.0,0,0,0,0,0
      326007501  2,10,1.0,9,3,1.0,17.0,0,0,0,0,0
      326008101  2,10,1.0,6,3,3.0,18.0,1,1,0,0,2
      326008701  2,10,1.0,7,6,2.0,,0,0,0,0,0
      326008701  3,10,1.0,8,6,2.0,13.0,0,0,0,0,0
      326011901  2,10,1.0,12,4,3.0,19.0,1,0,0,0,1
      326014501  3,10,1.0,11,5,2.0,19.0,1,0,0,0,1
      326014501  4,10,1.0,6,5,2.0,,0,0,0,0,0
      326100601  2,10,1.0,18,5,4.0,25.0,1,1,1,0,3
      326100601  5,10,1.0,8,5,4.0,,0,0,0,0,0
      326100901  1,10,1.0,5,3,2.0,17.0,0,0,0,0,0
      326100901  2,10,1.0,10,3,2.0,,0,0,0,0,0
      326102201  1,10,1.0,16,2,4.0,25.0,0,0,0,0,0
      326103201  2,10,1.0,11,5,2.0,16.0,1,0,0,0,1
      326103301  2,10,1.0,14,3,5.0,25.0,0,1,0,0,1
      326103301  3,10,1.0,8,3,5.0,,0,0,0,0,0
      326103401  1,10,1.0,6,3,2.0,20.0,0,0,0,0,0
      326105201  2,10,1.0,6,5,2.0,16.0,0,0,0,0,0
      326105201  3,10,1.0,6,5,2.0,,0,0,0,0,0
      326107301  2,10,1.0,6,5,2.0,17.0,0,0,0,0,0
      326202101  1,10,1.0,6,3,3.0,22.0,1,1,0,0,2
      326204401  2,10,1.0,6,5,3.0,17.0,1,0,0,0,1
      326204401  4,10,1.0,6,5,3.0,,0,0,0,0,0
      326206601  2,10,1.0,16,4,2.0,19.0,0,1,0,0,1
      326206601  3,10,1.0,7,4,2.0,,0,0,0,0,0
      326208101  1,10,1.0,11,4,2.0,17.0,0,0,0,0,0
      326209001  2,10,1.0,14,4,3.0,24.0,1,0,0,0,1
      326209501  1,10,1.0,9,5,2.0,17.0,0,0,0,0,0
      326209501  4,10,1.0,6,5,2.0,14.0,0,0,0,0,0
      326210401  2,10,1.0,12,5,2.0,16.0,0,0,0,0,0
      326301901  1,10,1.0,11,3,2.0,26.0,1,1,1,0,3
      326303801  2,10,1.0,10,3,3.0,16.0,0,0,0,0,0
      326304001  2,10,1.0,16,3,3.0,31.0,0,0,0,0,0
      326307001  2,10,1.0,8,4,2.0,26.0,0,0,0,0,0
      326307001  3,10,1.0,9,4,2.0,15.0,0,0,0,0,0
      326307201  1,10,1.0,6,2,3.0,19.0,1,1,1,0,3
      326308101  2,10,1.0,16,5,3.0,27.0,0,0,0,0,0
      326308901  2,10,1.0,16,3,2.0,32.0,0,0,0,0,0
      326402401  2,4,2.0,0,7,1.0,22.0,0,0,0,0,0
      326402401  4,4,2.0,6,7,1.0,19.0,1,1,0,0,2
      326402401  7,4,2.0,6,7,1.0,,0,0,0,0,0
      326402701  2,4,2.0,8,3,1.0,16.0,0,0,0,0,0
      326410301  2,4,2.0,0,3,1.0,20.0,0,0,0,0,0
      326410401  2,4,2.0,10,6,1.0,20.0,0,0,0,0,0
      326410501  2,4,2.0,6,7,1.0,13.0,0,0,0,0,0
      326410501  3,4,2.0,6,7,1.0,,0,0,0,0,0
      326410801  2,4,2.0,11,4,1.0,18.0,0,1,0,0,1
      326412001  2,4,2.0,1,5,1.0,17.0,0,0,0,0,0
      326412001  4,4,2.0,7,5,1.0,,0,0,0,0,0
      326412501  1,4,2.0,7,3,1.0,18.0,0,1,0,0,1
      326412601  2,4,2.0,9,3,1.0,16.0,0,0,0,0,0
